group-path,group-name,project,url,last-commit-date,repo-size-in-bytes,attachments-size-in-bytes,is-archived,mr-count,github_org,github_repo,gh_repo_visibility
"gl2gh-mig-group","gl2gh-mig-group","MavenHelloWorld","http://20.106.60.158/gl2gh-mig-group/maven-hello-world","2025-12-08 10:16 AM","23338","0","False",0,gitlab-mig-org,MavenHelloWorld-5,private
"gl2gh-mig-group","gl2gh-mig-group","octocat","http://20.106.60.158/gl2gh-mig-group/octocat","2026-04-30 10:13 AM","33350599","0","False",0,gitlab-mig-org,octocat-5,private
"gl2gh-mig-group","gl2gh-mig-group","terraformatlantis2026","http://20.106.60.158/gl2gh-mig-group/terraformatlantis-2026","2025-03-22 04:15 AM","50349","0","False",0,gitlab-mig-org,terraformatlantis2026-5,private
"gl2gh-mig-group","gl2gh-mig-group","dynamoDB","http://20.106.60.158/gl2gh-mig-group/dynamo-db","2025-03-19 05:23 PM","8148","0","False",0,gitlab-mig-org,dynamoDB-5,private
"gl2gh-mig-group","gl2gh-mig-group","solar-system","http://20.106.60.158/gl2gh-mig-group/solar-system","2025-09-08 10:23 AM","2083876","0","False",0,gitlab-mig-org,solar-system-5,private
"gl2gh-mig-group","gl2gh-mig-group","calotracker","http://20.106.60.158/gl2gh-mig-group/calotracker","2025-09-07 08:15 PM","3103227","0","False",0,gitlab-mig-org,calotracker-5,private
"gl2gh-mig-group","gl2gh-mig-group","concurrent space repo","http://20.106.60.158/gl2gh-mig-group/concurrent-space-repo","2026-08-12 05:12 PM","3884","0","False",0,gitlab-mig-org,concurrent space repo-5,private
"gl2gh-mig-group","gl2gh-mig-group","bash_tutorial","http://20.106.60.158/gl2gh-mig-group/bash-tutorial","2024-09-25 07:43 PM","838568","0","False",0,gitlab-mig-org,bash_tutorial-5,private
"gl2gh-mig-group","gl2gh-mig-group","it-tools","http://20.106.60.158/gl2gh-mig-group/it-tools","2026-02-12 12:59 AM","13905908","0","False",0,gitlab-mig-org,it-tools-5,private
"gl2gh-mig-group","gl2gh-mig-group","storybook","http://20.106.60.158/gl2gh-mig-group/storybook","2026-08-11 04:42 PM","1121262557","0","False",0,gitlab-mig-org,storybook-5,private
"gl2gh-mig-group","gl2gh-mig-group","python-app","http://20.106.60.158/gl2gh-mig-group/python-app","2026-08-12 10:18 AM","14515","0","False",1,gitlab-mig-org,python-app-5,private
"gl2gh-mig-group","gl2gh-mig-group","demo-repo","http://20.106.60.158/gl2gh-mig-group/demo-repo","2026-08-11 02:04 PM","26946","0","False",1,gitlab-mig-org,demo-repo-5,private
